,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,75.7,76,48,13.18,PF,1651331037
1,Phang Nga,8.4509,98.5298,80.64,92,98,3.0,TH,1651331210
2,Atambua,-9.1061,124.8925,73.62,90,74,4.34,ID,1651331210
3,Chui,-33.6971,-53.4616,61.36,54,56,3.38,UY,1651331149
4,Tasiilaq,65.6145,-37.6368,44.76,42,70,14.36,GL,1651331212
5,Khatanga,71.9667,102.5,10.44,97,46,5.46,RU,1651331212
6,Saint-Philippe,-21.3585,55.7679,80.19,79,45,11.18,RE,1651331078
7,Mataura,-46.1927,168.8643,48.16,90,79,4.21,NZ,1651331213
8,Ozinki,51.1786,49.6769,57.7,48,18,5.3,RU,1651331214
9,Clonakilty,51.6231,-8.8706,58.21,75,100,9.53,IE,1651331214
10,Kandiaro,27.0601,68.2091,104.74,7,0,5.28,PK,1651331215
11,Saint-Germain-de-Grantham,45.8334,-72.5658,48.94,61,69,5.01,CA,1651331215
12,Vaini,-21.2,-175.2,75.36,100,100,6.91,TO,1651331216
13,Bluff,-46.6,168.3333,57.22,73,84,19.95,NZ,1651331217
14,Cape Town,-33.9258,18.4232,67.26,63,46,5.01,ZA,1651331021
15,Jamestown,42.097,-79.2353,58.01,29,0,6.91,US,1651331218
16,Busselton,-33.65,115.3333,56.7,82,0,5.82,AU,1651331218
17,Bozeman,45.6796,-111.0386,39.2,80,0,5.99,US,1651331094
18,Puerto Ayora,-0.7393,-90.3518,76.96,84,36,10.2,EC,1651331219
19,Aklavik,68.2191,-135.0107,31.55,92,71,10.18,CA,1651331220
20,Chapadinha,-3.7417,-43.3603,87.93,54,49,4.7,BR,1651331220
21,Meulaboh,4.1363,96.1285,81.14,79,100,0.69,ID,1651331200
22,Laguna,38.421,-121.4238,63.01,73,0,4.61,US,1651331222
23,Taldan,53.6667,124.8,27.64,46,2,3.91,RU,1651331222
24,Kamskiye Polyany,55.4307,51.4171,50.68,58,100,4.7,RU,1651331223
25,Avarua,-21.2078,-159.775,77.05,88,40,3.44,CK,1651331224
26,Northam,51.0333,-4.2167,56.66,59,100,4.43,GB,1651331224
27,Khani,41.9563,42.9566,49.57,89,100,3.51,GE,1651331226
28,Sumter,28.7086,-82.0831,81.09,67,98,9.44,US,1651331228
29,Ossora,59.2353,163.0719,17.22,90,32,6.46,RU,1651331229
30,Port Alfred,-33.5906,26.891,66.18,67,2,5.01,ZA,1651331080
31,Torbay,47.6666,-52.7314,42.76,95,100,10.36,CA,1651330998
32,Kaitangata,-46.2817,169.8464,49.23,88,22,4.76,NZ,1651331230
33,Albany,42.6001,-73.9662,54.88,32,2,1.99,US,1651330975
34,Atuona,-9.8,-139.0333,77.95,77,54,13.58,PF,1651331159
35,Ponta do Sol,32.6667,-17.1,77.72,51,0,0.96,PT,1651331231
36,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,69.6,56,100,1.79,AR,1651331232
37,Ushuaia,-54.8,-68.3,40.62,81,0,5.75,AR,1651331160
38,Yarensk,62.1675,49.0916,35.82,54,77,5.12,RU,1651331233
39,Vanavara,60.34,102.2797,37.26,95,100,3.71,RU,1651331234
40,Walla Walla,46.0646,-118.343,52.57,79,100,11.5,US,1651331227
41,Hong Kong,22.2855,114.1577,79.18,87,100,15.99,HK,1651330822
42,Kumbo,6.2,10.6667,72.32,67,99,4.36,CM,1651331235
43,Koregaon,18.65,74.0833,88.52,27,0,12.48,IN,1651331236
44,Longyearbyen,78.2186,15.6401,15.64,53,0,3.44,SJ,1651330950
45,Port-Gentil,-0.7193,8.7815,85.96,66,20,8.05,GA,1651331236
46,Caravelas,-17.7125,-39.2481,83.5,57,6,7.4,BR,1651331237
47,Waipawa,-41.4122,175.5153,44.76,87,0,6.02,NZ,1651331238
48,Arraial do Cabo,-22.9661,-42.0278,76.06,78,32,8.84,BR,1651331036
49,Rawson,-43.3002,-65.1023,55.31,35,88,15.5,AR,1651331239
50,Brigantine,39.4101,-74.3646,64.2,30,0,9.22,US,1651331239
51,Severo-Kuril'sk,50.6789,156.125,33.96,82,92,16.98,RU,1651331092
52,Saint Anthony,45.0205,-93.218,50.49,92,100,13.8,US,1651330681
53,Deputatsky,69.3,139.9,3.65,88,35,3.8,RU,1651331240
54,Qaanaaq,77.484,-69.3632,18.18,77,100,8.55,GL,1651331241
55,Hobart,-42.8794,147.3294,56.26,86,75,11.5,AU,1651331242
56,Yulara,-25.2406,130.9889,63.48,59,100,17.11,AU,1651331242
57,Cherskiy,68.75,161.3,-6.14,100,79,4.18,RU,1651331243
58,Chokurdakh,70.6333,147.9167,6.96,96,33,7.05,RU,1651331091
59,Leningradskiy,69.3833,178.4167,3.58,98,96,5.99,RU,1651331244
60,Nanortalik,60.1432,-45.2371,39.07,84,83,4.03,GL,1651331244
61,Bengkulu,-3.8004,102.2655,78.08,89,100,4.54,ID,1651331151
62,Cabo San Lucas,22.8909,-109.9124,79.05,45,0,2.3,MX,1651331045
63,Vanimo,-2.6741,141.3028,77.2,89,100,5.86,PG,1651331245
64,Ouésso,1.6136,16.0517,88.43,47,86,3.4,CG,1651331246
65,Yangi Marg`ilon,40.4272,71.7189,81.32,32,0,2.3,UZ,1651331247
66,Lebu,-37.6167,-73.65,52.7,60,0,12.55,CL,1651331247
67,Saldanha,-33.0117,17.9442,60.93,75,40,12.35,ZA,1651331248
68,Mamlyutka,54.9375,68.5394,46.2,36,100,11.97,KZ,1651331248
69,Sittwe,20.15,92.9,82.74,77,11,1.95,MM,1651331249
70,Esperance,-33.8667,121.9,59.23,78,0,8.05,AU,1651331133
71,Taltal,-25.4,-70.4833,66.61,69,8,6.85,CL,1651331250
72,Hilo,19.7297,-155.09,73.27,97,75,4.61,US,1651331151
73,Tiznit Province,29.5833,-9.5,80.64,23,0,16.53,MA,1651331251
74,Lorengau,-2.0226,147.2712,80.42,79,96,5.17,PG,1651331252
75,Qaqortoq,60.7167,-46.0333,43.66,69,50,6.71,GL,1651331252
76,Sørland,67.667,12.6934,37.2,56,67,3.89,NO,1651331253
77,Podporozh'ye,60.9112,34.1706,38.91,55,93,9.37,RU,1651331253
78,Nikolskoye,59.7035,30.7861,46.29,44,92,7.94,RU,1651331100
79,Touros,-5.1989,-35.4608,85.87,64,79,16.15,BR,1651331254
80,Grand Gaube,-20.0064,57.6608,77.4,75,33,1.01,MU,1651331255
81,Saskylakh,71.9167,114.0833,15.22,92,100,16.89,RU,1651331082
82,Cidreira,-30.1811,-50.2056,66.58,64,50,12.01,BR,1651331256
83,Geraldton,-28.7667,114.6,59.41,88,0,9.22,AU,1651331256
84,Punta Arenas,-53.15,-70.9167,41.11,81,20,4.61,CL,1651331257
85,Lüderitz,-26.6481,15.1594,67.46,52,0,25.28,NA,1651331234
86,Waingapu,-9.6567,120.2641,78.66,85,100,6.13,ID,1651331258
87,Tuktoyaktuk,69.4541,-133.0374,21.0,96,82,7.11,CA,1651331258
88,East London,-33.0153,27.9116,67.17,66,0,22.17,ZA,1651331259
89,Port Elizabeth,-33.918,25.5701,67.1,69,0,19.57,ZA,1651331260
90,Tual,-5.6667,132.75,84.87,73,14,13.94,ID,1651331260
91,Yellowknife,62.456,-114.3525,25.84,58,81,8.86,CA,1651330996
92,Ningxiang,37.34,111.2052,44.82,23,33,5.14,CN,1651331261
93,Torquay,50.4638,-3.5143,59.5,65,100,7.0,GB,1651331262
94,Hermanus,-34.4187,19.2345,63.81,74,52,7.52,ZA,1651331262
95,Casablanca,33.5928,-7.6192,80.82,53,63,11.01,MA,1651331165
96,Roebourne,-20.7833,117.1333,78.48,46,79,15.86,AU,1651331263
97,Severnoye,56.3491,78.3619,47.34,76,100,10.87,RU,1651331264
